GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG
Shot Chart Detail,0021500022,590,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,4,0,0,Made Shot,Running Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,37,64,370,1,1
Shot Chart Detail,0021500022,599,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,5,4,45,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,16,74,149,1,1
Shot Chart Detail,0021500022,603,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,5,4,14,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,12,50,115,1,1
Shot Chart Detail,0021500022,615,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,5,3,24,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,1,21,1,1
Shot Chart Detail,0021500022,632,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,5,2,6,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,94,244,1,0
Shot Chart Detail,0021500022,643,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,5,1,22,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-7,21,1,0
Shot Chart Detail,0021500022,668,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,5,0,7,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,17,82,151,1,1
Shot Chart Detail,0021500022,679,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,6,4,49,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-9,23,1,0
Shot Chart Detail,0021500022,697,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,6,3,52,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-1,18,1,1
Shot Chart Detail,0021500022,703,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,6,3,4,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,17,-89,151,1,1
Shot Chart Detail,0021500022,718,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,6,2,2,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,74,252,1,0
Shot Chart Detail,0021500022,735,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,6,0,15,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-11,11,1,0
Shot Chart Detail,0021500049,534,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,4,4,7,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,28,-186,210,1,0
Shot Chart Detail,0021500049,580,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,4,0,44,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,145,200,1,1
Shot Chart Detail,0021500049,583,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,4,0,13,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,223,110,1,0
Shot Chart Detail,0021500066,488,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,4,4,16,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,37,242,1,0
Shot Chart Detail,0021500066,509,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,4,2,44,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,27,2,272,1,0
Shot Chart Detail,0021500066,532,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,4,1,17,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,25,-6,1,0
Shot Chart Detail,0021500066,544,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,4,0,37,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-14,2,1,0
Shot Chart Detail,0021500070,463,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,4,4,36,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,13,68,120,1,0
Shot Chart Detail,0021500070,478,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,4,2,23,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,17,-176,7,1,0
Shot Chart Detail,0021500070,494,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,4,0,32,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,12,16,1,0
Shot Chart Detail,0021500070,498,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,4,0,3,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,78,242,1,0
Shot Chart Detail,0021500097,563,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,4,3,45,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,66,237,1,0
Shot Chart Detail,0021500097,575,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,4,2,28,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,9,2,1,1
Shot Chart Detail,0021500134,542,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,4,3,37,Missed Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,13,115,70,1,0
Shot Chart Detail,0021500134,554,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,4,2,57,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-227,-1,1,1
Shot Chart Detail,0021500149,506,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,4,3,41,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,24,0,1,0
Shot Chart Detail,0021500149,515,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,4,3,34,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,164,193,1,0
Shot Chart Detail,0021500149,552,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,4,1,59,Missed Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,12,117,46,1,0
Shot Chart Detail,0021500155,533,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,4,3,8,Made Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,10,-104,26,1,1
Shot Chart Detail,0021500155,546,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,4,2,8,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,128,219,1,1
Shot Chart Detail,0021500155,555,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,4,1,2,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-88,242,1,1
Shot Chart Detail,0021500155,576,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,4,0,29,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,-58,257,1,0
Shot Chart Detail,0021500171,478,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,4,4,5,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,14,-19,144,1,1
Shot Chart Detail,0021500171,480,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,4,3,35,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-2,7,1,0
Shot Chart Detail,0021500171,487,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,4,3,18,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,24,-1,1,1
Shot Chart Detail,0021500171,495,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,4,2,46,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,3,1,1
Shot Chart Detail,0021500171,500,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,4,2,7,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,18,-112,149,1,1
Shot Chart Detail,0021500171,522,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,4,0,39,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-11,11,1,0
Shot Chart Detail,0021500183,457,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,4,4,51,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,117,228,1,0
Shot Chart Detail,0021500183,460,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,4,4,5,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,2,7,1,0
Shot Chart Detail,0021500183,475,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,4,3,6,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,15,3,1,0
Shot Chart Detail,0021500183,488,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,4,2,19,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-92,234,1,0
Shot Chart Detail,0021500183,497,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,4,1,26,Made Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,13,-45,126,1,1
Shot Chart Detail,0021500183,499,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,4,1,2,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,12,-2,120,1,0
Shot Chart Detail,0021500183,536,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,4,0,19,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-2,-5,1,1
Shot Chart Detail,0021500183,542,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,4,0,12,Made Shot,Running Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,32,242,1,1
Shot Chart Detail,0021500183,548,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,4,0,8,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,30,25,303,1,0
Shot Chart Detail,0021500199,483,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,4,4,39,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,20,3,1,1
Shot Chart Detail,0021500199,513,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,4,2,2,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1
Shot Chart Detail,0021500199,523,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,4,1,3,Made Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,12,91,87,1,1
Shot Chart Detail,0021500199,526,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,4,0,41,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,12,81,90,1,0
Shot Chart Detail,0021500199,537,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,4,0,24,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,18,-4,183,1,1
Shot Chart Detail,0021500223,484,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,4,2,12,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-1,7,1,1
Shot Chart Detail,0021500223,490,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,4,1,16,Missed Shot,Floating Jump shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-25,31,1,0
Shot Chart Detail,0021500256,508,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,4,4,26,Made Shot,Running Pull-Up Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,18,94,160,1,1
Shot Chart Detail,0021500256,512,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,4,3,53,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,17,50,169,1,1
Shot Chart Detail,0021500256,516,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,4,3,20,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,23,-34,237,1,0
Shot Chart Detail,0021500256,524,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,4,2,48,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-24,2,1,1
Shot Chart Detail,0021500256,527,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,4,2,22,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,15,102,116,1,1
Shot Chart Detail,0021500256,529,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,4,1,57,Missed Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,14,-55,129,1,0
Shot Chart Detail,0021500256,580,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,4,0,17,Missed Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,-50,239,1,0
Shot Chart Detail,0021500277,468,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,4,4,16,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,210,121,1,0
Shot Chart Detail,0021500277,482,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,4,3,21,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-137,213,1,0
Shot Chart Detail,0021500277,536,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,4,0,1,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,210,139,1,0
Shot Chart Detail,0021500303,529,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,4,3,39,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-6,2,1,0
Shot Chart Detail,0021500303,535,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,4,2,48,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-173,188,1,1
Shot Chart Detail,0021500331,474,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,4,2,44,Missed Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,30,51,1,0
Shot Chart Detail,0021500331,495,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,4,1,14,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-83,232,1,1
Shot Chart Detail,0021500341,423,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,4,4,56,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-71,2,1,0
Shot Chart Detail,0021500341,443,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,4,2,24,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-25,2,1,0
Shot Chart Detail,0021500341,466,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,4,0,34,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,17,-53,164,1,0
Shot Chart Detail,0021500356,474,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,4,4,39,Missed Shot,Running Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,28,2,1,0
Shot Chart Detail,0021500356,478,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,4,4,1,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-125,214,1,0
Shot Chart Detail,0021500356,502,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,4,2,4,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,17,2,1,0
Shot Chart Detail,0021500356,515,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,4,0,23,Missed Shot,Jump Bank Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,48,11,1,0
Shot Chart Detail,0021500356,532,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,5,4,47,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,15,128,85,1,1
Shot Chart Detail,0021500356,535,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,5,4,24,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-22,3,1,1
Shot Chart Detail,0021500356,542,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,5,3,18,Missed Shot,Pullup Bank shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,14,-130,72,1,0
Shot Chart Detail,0021500356,555,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,5,1,50,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,27,184,208,1,0
Shot Chart Detail,0021500356,559,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,5,1,23,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,13,4,139,1,0
Shot Chart Detail,0021500356,572,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,5,0,16,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,16,-102,129,1,0
Shot Chart Detail,0021500384,494,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,4,4,48,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,-5,1,1
Shot Chart Detail,0021500384,529,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,4,1,34,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-127,224,1,1
Shot Chart Detail,0021500384,540,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,4,0,53,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,14,-107,100,1,1
Shot Chart Detail,0021500384,553,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,4,0,2,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-137,223,1,0
Shot Chart Detail,0021500418,483,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,4,1,28,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,6,7,1,0
Shot Chart Detail,0021500418,490,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,4,0,48,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-137,218,1,1
Shot Chart Detail,0021500418,494,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,4,0,29,Made Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,11,-42,106,1,1
Shot Chart Detail,0021500437,518,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,4,4,18,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-189,164,1,0
Shot Chart Detail,0021500437,523,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,4,3,42,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,13,84,106,1,1
Shot Chart Detail,0021500437,563,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,4,0,29,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-122,208,1,0
Shot Chart Detail,0021500437,567,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,4,0,13,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,217,120,1,0
Shot Chart Detail,0021500456,505,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,4,0,46,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1
Shot Chart Detail,0021500456,512,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,4,0,17,Missed Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-45,52,1,0
Shot Chart Detail,0021500472,567,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,4,1,52,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,6,13,1,1
Shot Chart Detail,0021500472,580,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,4,1,15,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-1,-1,1,1
Shot Chart Detail,0021500488,432,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,4,4,37,Missed Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,14,-50,131,1,0
Shot Chart Detail,0021500488,449,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,4,2,34,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-11,11,1,0
Shot Chart Detail,0021500488,453,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,4,1,57,Made Shot,Jump Bank Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,13,-119,56,1,1
Shot Chart Detail,0021500517,529,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,4,4,48,Missed Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-1,16,1,0
Shot Chart Detail,0021500517,553,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,4,3,15,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,23,-9,237,1,0
Shot Chart Detail,0021500517,574,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,4,2,8,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,14,7,1,1
Shot Chart Detail,0021500517,584,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,4,0,41,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,23,-83,224,1,0
Shot Chart Detail,0021500517,587,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,4,0,10,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-148,198,1,0
Shot Chart Detail,0021500534,508,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,4,4,29,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-174,183,1,0
Shot Chart Detail,0021500549,455,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,4,4,50,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,156,188,1,0
Shot Chart Detail,0021500549,491,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,4,3,0,Made Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,12,2,1,1
Shot Chart Detail,0021500549,512,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,4,1,45,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,4,2,1,1
Shot Chart Detail,0021500564,512,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,4,2,49,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,14,6,141,1,1
Shot Chart Detail,0021500564,516,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,4,2,25,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,9,7,1,1
Shot Chart Detail,0021500574,480,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,4,0,56,Missed Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-14,13,1,0
Shot Chart Detail,0021500611,438,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,4,3,59,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,14,1,141,1,0
Shot Chart Detail,0021500627,559,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,4,2,58,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1
Shot Chart Detail,0021500627,585,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,4,1,40,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1
Shot Chart Detail,0021500651,463,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,4,4,42,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,19,-129,146,1,1
Shot Chart Detail,0021500651,475,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,4,3,9,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,4,23,1,0
Shot Chart Detail,0021500651,481,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,4,2,36,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,4,18,1,0
Shot Chart Detail,0021500664,464,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,4,3,47,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,24,-240,3,1,0
Shot Chart Detail,0021500664,477,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,4,2,40,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-19,7,1,1
Shot Chart Detail,0021500664,503,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,4,1,11,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,96,237,1,1
Shot Chart Detail,0021500664,505,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,4,0,47,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-16,-1,1,1
Shot Chart Detail,0021500664,524,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,4,0,7,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-6,8,1,0
